A bad quarter of an hour;несколько неприятных минут
A bird's eye view;"вид с птичьего полета;2.перспектива"
A bunk;- уйти, исчезнуть
A case in point is;пример этого
A clinging vine;слабая женщина, зависящая от мужчины
A coal oil johnny;мот, транжира
A dab hand at something;эксперт в чем-либо
A damp squib;что-либо что должно было стать интересным, эффективным, но полностью провалилось
A darby and joan;пример верной, счастливой супружеской пары пожилых людей
A dead ringer for;точная копия , очень похожий
Babbling brook;болтунья, сплетница.
Babe in the woods;как ребенок, словно с Луны свалившись, т.е. совсем не знать, что делать, оказаться в незнакомой обстановке:
Babysitter;"-, или просто ,""сиделка"" тот, кто бдит в то время как основная тусовка ловит кайф от химии"
Back of beyond;очень далеко
Back out;". не сдержать обещание, ""делать западло"""
Back to the wall;в западне, без выхода:
Back up;1. двигаться назад, возвращаться: 2. помогать, поддерживать или собираться это сделать: 3. подстраховывать : 4.п. Вспомогательный
Backbiting;критиковать, плохо отзываться о ком-либо за его спиной
Backhander;взятка
Backpedal;менять образ действия, решения на противоположные
Cabbage;деньги
Call back;перезвонить :
Call down;"бранить, ""вставлять"":"
Call girl;"проститутка, та, которую можно вызвать по телефону, ""девушка по вызову""."
Call it a day;сделать перерыв
Call off;отменять, останавливать:
Call on;/
Call someone names;обзывать
Call someone to account;призвать к ответу, требовать объяснения каких-либо действий особенно если они были неправильными
Call up;1. напоминать: 2. вызывать, приглашать: 3. призывать, мобилизовывать, собирать : 4. просто позвонить по телефону: -
Damn;[ ] проклятие,  черт побери...
Damn all;вообще ничего
Dance attendance on someone;исполнять все желания и прихоти кого-либо
Dare say;полагать, думать, верить, предполагать. Обычно употребляется только от первого лица:
Dark horse;темная личность
Darn;проклЯтый .
Dead;сильная степень акцентации
Dead certainty;полная, абсолютная уверенность.
Dead drunk;пьян в стельку
Dead duck;"дохлой уткой американцы называют наш ""дохлый номер"", т.е. человека или какое-либо дело, находящееся в безнадежной ситуации:"
Each way;"см. ""/""."
Eager beaver;крайне прилежный работник, стремящийся произвести впечатление на начальство
Ear to the ground;"их ""ухо к земле"" - это наш ""нос по ветру""."
Early bird gete the worm;"их ""ранняя птичка находит червячка"" - это наше ""кто рано встает, тому Бог дает""."
Earn one's wings;быть компетентным и надежным
Ease off;успокаиваться, расслабляться, не нервничать, отпускать, облегчать что-либо:
Ease up;замедлить
Easy come, easy go;Бог дал, Бог взял: -    .- Легко пришло, легкоушло .-машет рукой Джон, когда они с Миком,- опомнясь, увидели, что просадили в баре все 25 долларов, что неожиданно для самих себя заработали тремя часами раньше на аттракционе, где Мик получил первый приз за три метких выстрела из арбалета .
Easy dig;тот или та, кто любит заниматься сексом и легко идет на такого рода контакт:
Easy does it;осторожно, аккуратно:
Fab;"сокращенно от """" - легендарный, мифический, великолепный:"
Face the music;расхлебывать дело
Face up to;смотреть в лицо невзгодам, мужественно принимать то, что, может, и не совсем приятно:
Face value;"нарицательная стоимость;2.видимая ценность"
Fag;, ,
Fag hag;транссексуалка
Faggot;"""голубой"" в одном из вариантов ""  "" это слово мелькает, а в прочих - нет... Видимо может использоваться не столько чисто функционально, как"
Fair;"1. честный, справедливый: - '  ! 2. красивый, привлекательный: 3. чистый; 4. спокойный: Лге     . 5. светлый , русый (а вовсе не "" "", как в русско-английском сло"
Fair and square;прямо, точно
Fair do's;'/'
G.i.;рядовой ..  .
Gaga;"1) ошарашенный, ошеломленный; 2) эксцентричный, ""с приветом""."
Gaga;". тупой, идиотический: А      ... - Все, что мы слышим,- это ""Радио ""Туфта"",- поет """" в песне "" "", имея в виду ту лапшу, что вешают нам на уши все эти обозреватели, ведущие и ди-джей, вставляя между хорошими песнями свои глупые комментарии, забавляясь со слушателями, словно с детьми . ""     . - Но, тем не менее, кто-п ю все еще тебя любит "", - поют далее ""куины "". Значит, не всех раздражает та туфта, та ""гага "", которую мы слышим по радио..."
Gain clout;усилить влияние
Ganzl;
Garbage;"хлам;негодная вещь"
Garbage down;жрать, пожирать, чавкать, как свинья, уплетать:
Gay;"первоначальное словарное значение давным-давно устарело. Нынче это ""гей"""
Gear up;готовиться
Gee;!
Hack around;бездельничать,лодырничать
Hairy;трудный, заморочистый
Hamed up;"преувеличивать;утрировать"
Hands down;"легкий;без труда"
Hang around;слоняться :
Hanky panky;надувательство,жульничество
Hard up;"стесненный в деньгах;не при деньгах"
Hardball;нешуточное дело
Hash over;"поговорить;вспоминать"
Hash up;напортить
I am mainly interested in;я глвным образом заинтересован...
I am well aware of;я отдаю себе полный отчет в ...
I can live with it;для меня это приемлимо
I can't make it out;я этого не понимаю
I did it of my own accord;я это сделал по моему собственноиу желанию
I won't deny that;я не стану это отрицать
I wouldn't know;Откуда мне знать?
I'll bet you my bottom dollar informal;"то же, что и ""     ..."", т.е. ""быть уверенным на все сто"":"
I'm full;я наелся до отвала. Это, собственно, не столько слэнг, сколько, разговорный оборот
Ice;"так иногда называют ""брюлики"", ювелирные изделия."
Jack canuck;прозвище канадца
Jack frost;Дед Мороз
Jack horner;самодовольный мальчик
Jack in the office;чинуша, бюрократ
Jack johnson;тяжелый снаряд
Jack of all sides;тот кто служит и нашим и вашим
Jack of all trades;на все руки мастер, универсал: -
Jack sprat;карлик
Jack up;"1. поднять : -    !      ! - Подними домкратом машину! Надо заменить колес. шина сдулась! - выталкивает из машины комиссар Ле Пешен сержанта Холдуина; 2. поднять : - !"
Jailbait;л. несовершеннолетняя, малолетка .
Keep a low profile;держаться в тени
Keep an eye on;"смотреть за;следить"
Keep an eye out;"следить за;быть на чеку"
Keep at it;продолжать делать что-либо, работать над чем-либо до успешного завершения
Keep in the dark;держать в неведении
Keep in with someone;сохранять дружественные отношения с кем-либо
Keep it up;продолжать в том же духе
Keep on at someone;постоянно убеждать, понуждать кого-либо сделать что-либо
Keep one's ear to the ground;/ '
Keep one's end up;не отставать от других, поспевать
Labour of love;работа, которую выполняют для собственного удовольствия
Lantern jaws;впалые щеки
Lash out;транжирить деньги, тратить в больших количествах
Late in the day;слишком поздно
Lay an egg;потерпеть неудачу
Lay oneself open to something;подставляться
Lay someone low;свалить с ног, подкосить, сильно заболеть
Lead someone a dance;постоянно втягивать кого-либо в различные неприятные ситуации, проблемы
Leave in the lurch;оставить в беде
Leery;подозрительный,скептический
Macho;"мужик, самец, ""мачо"""
Make a go of something;добиваться успеха в чем-либо
Make a hit;иметь успех
Make a killing;заработать большие деньги, получить большие выгоды
Make a name for oneself;становиться известным, приобретать хорошую репутацию
Make a pig's ear of something;испортить все, напутать, напортачить
Make a song and dance about something;поднимать шумиху, суету вокруг чего-либо
Make capital of something;использовать к собственной выгоде
Make eyes at;
Make hay;использовать удобный случай
Nab;арестовать
Name of the game;суть дела
Nay;"то же, что и ""по"""
Neat trick;ловкий трюк
Negligeble quantity;
Neither here nor there;не важный
Net;"схватить;поймать"
Nigger;п.  ниггер, т.е. негр.
Nit pick;беспокоиться по пустякам
Nit picker;педант
Odd ball;".  эксцентричная личность, ""белая ворона"", ""сумасшедший заяц"", ненормальный:  '   .     .-Лучше не связывайся ты с ним. Он с головой не дружит."
Odd job;случайная, разная работа
Odd man out;/
Odds and ends;разные мелочи
Of one's own accord;по собственному желанию
Of unsound mind;умасшедший
Off one's rocker;"винтика в голове не хватает;не все дома"
Off the beam;далеко от истины
Off the cuff;"импровизировано;без подготовки"
Off the wall;"поразительный;2.эксцетричный"
Pack it in;переставать делать что-либо
Pack of lies;все ложь
Pack up;сломаться, перестать работать
Paddle one's own canoe;устраивать свои дела без помощи кого-либо, самостоятельно
Pain in the neck;тот, кто всех достает и напрягает
Pal;"""кореш"", ""братан""."
Palm something off on someone;избавиться, сбагрить, спихнуть что-либо кому-либо
Pan out;"удаваться;устраиваться"
Pass the back;сваливать ответственность
Pay off;"подкупить;2.увенчаться успехом"
Queer beggar;странный человек
Queer fish;чудак
Queer someone's pitch;спутать карты, т.е. помешать кому-либо сделать что-либо, разрушить все планы и т.п.
Quick fix;решение какой-л. проблемы на скорую руку
Quite something;Это что-то!
Quitter;"капитулянт;трус"
Rack one's brain;. . напрягать мозги, шевелить мыслей:             . - Мик напряг память, стараясь вспомнить, где же он видел эту девушку раньше.
Rack one's brains;ломать голову
Raise cain;шуметь, кричать
Raise hell;"поднимать шум; устроить скандал"
Raise hue and cry;поднимать шум
Rambo;"разрушать. К величайшему своему стыду-позору я так и не посмотрел ни одного ""Рэмбо"". Поэтому не знаю, как он пишется на аглицком. Поэтому могу лишь предположить некую общность с приведенным выше словом"
Rap;выговор, порицание
Rap someone over the knuckles;намылить голову
Rape session;.  взбучка, вздрючка, на ковер: —   '       ? — Вас только что вызывали на ковер?— говорит Холдуин, видя, что у комиссара слишком уж бледный вид.
Rat on someone;предавать
Salt something away;отложить до лучших времен
Save the day;спасти положение
Savvy;смекалистый
Scam;"мошенничество;обман"
Scare the hell out of;
Schmaltz;дешевая сентиментальность
Schmo;"то же самое, что и ""чмо"" по-русски"
Scratch the surface;"скользить по поверхности;не вдаваясь"
Screw up;"проколоться, лажануться, испортить что-либо задним числом вспоминаю, что что-то подобное было во втором ""Терминаторе"""
Screwball;"сумасброд;чудак"
Tackle;энергично браться за что-л.
Tacky;убогий
Tag along;увязываться за
Take;терпеть
Take a back seat;отойти на задний план
Take a beating;"терпеть убытки;переплатить"
Take a joke;понимать шутку
Take a try;попытаться
Take heat;выстоять (перед лицом неприятностей, как напр., жалоб, критики и др
Take in;"1. пойти посмотреть : - '    .- Давайте сходим в кино; 2. уменьшать, укорачивать, урезать : -        .- Этот размерчик нужно чуток ушить,-советует сержант Холдуин, разглядывая"
Ugly duckling;"""гадкий утенок"", то есть ребенок , ничего из себя не представляющий внешне или даже некрасивый, выросший затем в красивого человека. Появлению этой американской идиомы способствовал великий датский сказочник Ханс Христиан Андерсен, написавший одноименную сказку. И афоризм ""гадкий утенок"" запал в душу не только европейцев, но и американцев."
Under a cloud;1. под подозрением: 2. как в воду опущенный:
Under age;слишком молодой, малолетка, несовершеннолетний:
Under one's own steam;"собственными усилиями;без посторонней помощи"
Under one's steam;собственными силами:
Under one's wing;"под чьей-л. защитой;под чьей-л. опекой"
Under the hammer;с молотка, быть проданным с аукциона:
Under the sun;под солнцем, в мире, на свете.
Under the thumb;под каблуком
Under the weather;чувствовать слабость
Vanity bag;дамская сумочка
Vanity case;косметичка
Variety is the spice of life;жизнь прекрасна, потому что не постижима
Vegetable;"""овощ"",человек, чье здоровье и психика полностью разрушены фармакохимией"
Vibes;п.
Voice box;и. гортань, глотка.
Voite down;заблокировать, не проголосовать:
Wacky;"сумасшедший, безумный. Была когда-то такая забавная комп.игрушка "" "", там различные зверьки разъезжали на автомобильчиках. При всей ублюдочности своей весовой категории, реализация по тем временам была весьма изящной.."
Wag one's tongue;чесать языком
Wait on;служить, прислуживать
Wait upon;служить, прислуживать
Walk away with;завоевать
Walk off with;скрываться, или похищать, или то и другое вместе:
Walk on air;быть счастливым
Walk on eggs;действовать чрезвачайно осторожно
Walk out;1. бастовать: 2. сваливать :
Walk out on something;выйти из игры
X;"икс;2.крестик"
X axic;ось абцисс
X ray;обследовать с помощью рентгеновских лучей
X ring;контрольный кружок внутри десятки
X.y.z.;", что переводится как ""проверь замок на ширинке"" ."
Xanthippe;сварливая женщина
Xanthons;желтый
Xenial customs;законы гостеприимства
Xing;перекресток
Xmas;Рождество .
Yacky;грязный
Yah;"форма от """"."
Yakky;трепливый, болтливый, болтун:
Yakyak;много шума из ничего, много трепа:
Yap;"разговорное ""да""."
Yard;100
Yellow;трусливый
Yellow bellied;желтопузиком американцы называют трусишку:
Yellow rag;бульварная газета, бульварный листок
Yo;еще одна форма от .
Z day;решительный день
Zany;"шут;2.сумасброд, дурак, фигляр"
Zap;"убить. В клевых книжках Дугласа Адамса универсальное оружие  называлось ""--"""
Zappy;энергичный,живой
Zealot;фанатичный приверженец
Zephyr;"западный ветер;2.род майки;накидка"
Zero cool;. круто! очень хорошо, супер.
Zero in on;концетрироваться на чем-л.
Zest;"смак;удовольствие"
Zing;высокий резкий звук
